Time (S)	CHA (V)	CH1 (V)	CH2 (V)	CH3 (V)
12.000	-0.999	-0.754	0.540	1.574
12.025	-1.000	-0.674	0.565	1.240
12.050	-0.999	-0.555	0.538	0.901
12.075	-0.999	-0.378	0.538	0.634
12.100	-1.000	-0.191	0.393	0.369
12.125	-0.999	-0.004	0.223	0.213
12.150	-0.999	0.172	0.069	0.141
12.175	-0.999	0.311	-0.067	0.182
12.200	-0.999	0.415	-0.174	0.178
12.225	-1.000	0.504	-0.265	0.177
12.250	-1.000	0.561	-0.337	0.248
12.275	-1.000	0.586	-0.402	0.449
12.300	-1.000	0.559	-0.420	0.635
12.325	-0.999	0.500	-0.430	0.907
12.350	-0.999	0.382	-0.416	1.121
12.375	-0.999	0.267	-0.389	1.337
12.400	-0.999	0.119	-0.308	1.503
12.425	-1.000	-0.016	-0.182	1.646
12.450	-1.000	-0.165	-0.069	1.710
12.476	-1.000	-0.278	0.043	1.688
12.500	-0.999	-0.367	0.125	1.709
12.526	-1.000	-0.441	0.214	1.711
12.550	-0.999	-0.492	0.275	1.688
12.575	-0.999	-0.516	0.319	1.540
12.600	-1.000	-0.499	0.349	1.344
12.626	-0.999	-0.439	0.356	1.124
12.650	-0.999	-0.353	0.334	0.926
12.676	-0.999	-0.242	0.328	0.753
12.700	-0.999	-0.130	0.282	0.609
12.725	-0.999	-0.006	0.179	0.492
12.750	-1.000	0.108	0.077	0.448
12.776	-0.999	0.206	-0.021	0.428
12.800	-0.999	0.270	-0.086	0.452
12.825	-1.000	0.339	-0.148	0.442
12.850	-1.000	0.388	-0.210	0.447
12.875	-0.999	0.422	-0.249	0.450
12.900	-1.000	0.427	-0.282	0.574
12.926	-0.999	0.415	-0.299	0.750
12.950	-0.999	0.361	-0.304	0.920
12.975	-0.999	0.292	-0.286	1.076
13.000	-0.999	0.192	-0.271	1.223
13.025	-0.999	0.104	-0.234	1.348
13.050	-1.000	-0.005	-0.165	1.438
13.075	-0.999	-0.091	-0.077	1.496
13.100	-0.999	-0.185	0.009	1.511
13.125	-0.999	-0.247	0.060	1.515
13.150	-1.000	-0.303	0.110	1.516
13.175	-0.999	-0.341	0.159	1.517
13.200	-0.999	-0.383	0.194	1.513
13.225	-0.999	-0.391	0.233	1.415
13.250	-0.999	-0.395	0.246	1.287
13.275	-0.999	-0.344	0.257	1.144
13.301	-0.999	-0.286	0.244	1.006
13.325	-0.999	-0.209	0.236	0.873
13.350	-0.999	-0.136	0.216	0.754
13.375	-0.999	-0.033	0.180	0.657
13.400	-0.999	0.045	0.102	0.567
13.425	-0.999	0.136	0.016	0.553
13.450	-0.999	0.198	-0.033	0.564
13.475	-1.000	0.251	-0.080	0.576
13.500	-0.999	0.281	-0.123	0.572
13.525	-0.999	0.321	-0.163	0.574
13.550	-0.999	0.335	-0.194	0.570
13.575	-0.999	0.362	-0.210	0.648
13.600	-0.999	0.339	-0.228	0.789
13.625	-0.999	0.301	-0.233	0.923
13.650	-1.000	0.241	-0.219	1.035
13.676	-0.999	0.169	-0.204	1.154
13.700	-0.999	0.092	-0.188	1.265
13.725	-0.999	0.022	-0.150	1.338
13.750	-1.000	-0.065	-0.094	1.387
13.775	-0.999	-0.130	-0.024	1.410
13.800	-0.999	-0.188	0.025	1.389
13.825	-1.000	-0.219	0.061	1.401
13.850	-0.999	-0.265	0.090	1.398
13.875	-0.999	-0.282	0.125	1.402
13.901	-1.000	-0.309	0.151	1.400
13.925	-0.999	-0.318	0.177	1.377
13.950	-0.999	-0.330	0.187	1.256
13.975	-0.999	-0.288	0.198	1.150
14.000	-0.999	-0.260	0.186	1.037
14.025	-0.999	-0.194	0.171	0.951
14.050	-0.999	-0.142	0.157	0.849
14.075	-0.999	-0.060	0.151	0.778
14.100	1.001	-0.080	0.114	0.702
14.126	1.001	-0.414	0.123	0.642
14.151	1.001	-0.647	0.272	0.534
14.176	1.001	-0.818	0.451	0.336
14.201	1.001	-0.889	0.582	0.014
14.225	1.001	-0.879	0.646	-0.299
14.250	1.001	-0.810	0.668	-0.637
14.275	1.001	-0.674	0.664	-1.034
14.300	1.001	-0.497	0.628	-1.411
14.325	1.001	-0.251	0.493	-1.816
14.350	1.001	-0.001	0.265	-2.012
14.375	1.001	0.222	0.051	-2.087
14.401	1.001	0.405	-0.121	-2.037
14.425	1.001	0.530	-0.240	-2.036
14.450	1.001	0.630	-0.357	-1.999
14.476	1.001	0.686	-0.449	-1.759
14.500	1.001	0.669	-0.492	-1.469
14.525	1.001	0.599	-0.510	-1.157
14.550	1.001	0.471	-0.495	-0.860
14.575	1.001	0.327	-0.478	-0.629
14.600	1.001	0.154	-0.362	-0.399
14.626	1.001	-0.032	-0.203	-0.251
14.650	1.001	-0.181	-0.059	-0.180
14.676	1.001	-0.315	0.062	-0.267
14.700	1.001	-0.401	0.152	-0.251
14.725	1.001	-0.468	0.227	-0.249
14.750	1.001	-0.528	0.300	-0.312
14.775	1.001	-0.542	0.357	-0.455
14.800	1.000	-0.522	0.373	-0.648
14.825	1.001	-0.461	0.377	-0.851
14.850	1.001	-0.380	0.367	-1.090
14.875	1.001	-0.243	0.349	-1.315
14.900	1.001	-0.112	0.290	-1.516
14.925	1.001	0.043	0.160	-1.666
14.950	1.001	0.168	0.037	-1.718
14.975	1.001	0.290	-0.069	-1.655
15.000	1.001	0.365	-0.153	-1.646
